Length,Item #,Item Name,XML NAACCR ID,Format,Allowable Values,PARENT XML ELEMENT,Section,Note,Data Type
5,3616,Derived SEER Combined T,derivedSeerCombinedT,"Upper-case alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, blank",Tumor,Stage/Prognostic Factors,,
5,3618,Derived SEER Combined N,derivedSeerCombinedN,"Upper-case alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, blank",Tumor,Stage/Prognostic Factors,,
5,3620,Derived SEER Combined M,derivedSeerCombinedM,"Upper-case alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, blank",Tumor,Stage/Prognostic Factors,,
1,3622,Derived SEER Cmb T Src,derivedSeerCmbTSrc,,"1, 2, 3, 9",Tumor,Stage/Prognostic Factors,,
1,3624,Derived SEER Cmb N Src,derivedSeerCmbNSrc,,"1, 2, 3, 9",Tumor,Stage/Prognostic Factors,,
1,3626,Derived SEER Cmb M Src,derivedSeerCmbMSrc,,"1, 2, 3, 9",Tumor,Stage/Prognostic Factors,,
15,3645,NPCR Derived AJCC 8 TNM Clin Stg Grp,npcrDerivedAjcc8TnmClinStgGrp,Left justified,"Codes published in the AJCC Cancer Staging Manual, 88, 99, Blank",Tumor,Stage/Prognostic Factors,,
15,3646,NPCR Derived AJCC 8 TNM Path Stg Grp,npcrDerivedAjcc8TnmPathStgGrp,Left justified,"Codes published in the AJCC Cancer Staging Manual, 88, 99, Blank",Tumor,Stage/Prognostic Factors,,
15,3647,NPCR Derived AJCC 8 TNM Post Therapy Stg Grp,npcrDerivedAjcc8TnmPostStgGrp,Left justified,"Codes published in the AJCC Cancer Staging Manual, 88, 99, Blank",Tumor,Stage/Prognostic Factors,,
4,3650,NPCR Derived Clin Stg Grp,npcrDerivedClinStgGrp,"Upper case, alphanumeric. Convert AJCC Roman numerals to Arabic numerals. Left justified, blank filled.","See the FORDS Manual for valid codes; also 88, 99 and blank",Tumor,Stage/Prognostic Factors,,
4,3655,NPCR Derived Path Stg Grp,npcrDerivedPathStgGrp,"Upper case, alphanumeric. Convert AJCC Roman numerals to Arabic numerals. Left justified, blank filled.","See the FORDS Manual for valid codes; also 88, 99 and Blank",Tumor,Stage/Prognostic Factors,,
1,3700,SEER Site-Specific Fact 1,seerSiteSpecificFact1,,"0-9, blank",Tumor,Stage/Prognostic Factors,,
1,3702,SEER Site-Specific Fact 2,seerSiteSpecificFact2,,"0-9, blank",Tumor,Stage/Prognostic Factors,,
1,3704,SEER Site-Specific Fact 3,seerSiteSpecificFact3,,"0-9, blank",Tumor,Stage/Prognostic Factors,,
1,3706,SEER Site-Specific Fact 4,seerSiteSpecificFact4,,"0-9, blank",Tumor,Stage/Prognostic Factors,,
1,3708,SEER Site-Specific Fact 5,seerSiteSpecificFact5,,"0-9, blank",Tumor,Stage/Prognostic Factors,,
1,3710,SEER Site-Specific Fact 6,seerSiteSpecificFact6,,"0-9, blank",Tumor,Stage/Prognostic Factors,,
1,3750,Over-ride CS 1,overRideCs1,,"1, blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,3751,Over-ride CS 2,overRideCs2,,"1, blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,3752,Over-ride CS 3,overRideCs3,,"1, blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,3753,Over-ride CS 4,overRideCs4,,"1, blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,3754,Over-ride CS 5,overRideCs5,,"1, blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,3755,Over-ride CS 6,overRideCs6,,"1, blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,3756,Over-ride CS 7,overRideCs7,,"1, blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,3757,Over-ride CS 8,overRideCs8,,"1, blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,3758,Over-ride CS 9,overRideCs9,,"1, blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,3759,Over-ride CS 10,overRideCs10,,"1, blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,3760,Over-ride CS 11,overRideCs11,,"1, blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,3761,Over-ride CS 12,overRideCs12,,"1, blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,3762,Over-ride CS 13,overRideCs13,,"1, blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,3763,Over-ride CS 14,overRideCs14,,"1, blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,3764,Over-ride CS 15,overRideCs15,,"1, blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,3765,Over-ride CS 16,overRideCs16,,"1, blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,3766,Over-ride CS 17,overRideCs17,,"1, blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,3767,Over-ride CS 18,overRideCs18,,"1, blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,3768,Over-ride CS 19,overRideCs19,,"1, blank",Tumor,Edit Overrides/Conversion History/System Admin,,
1,3769,Over-ride CS 20,overRideCs20,,"1, blank",Tumor,Edit Overrides/Conversion History/System Admin,,
7,3780,Secondary Diagnosis 1,secondaryDiagnosis1,"Left justified, starting with a character, there will be a presumed decimal point between the third and fourth characters in the reported value","A00.0 - B99.9, E00.0 - E89.89, G00.0 - P96.9, R00.0 - S99.929, T36.0 - T50.996, Y62.0 - Y84.9, Z14.0 - Z22.9, Z68.1 - Z68.54, Z80.0 - Z80.9, Z85.0 - Z86.03, Z86.1 - Z99.89",Tumor,Stage/Prognostic Factors,,
7,3782,Secondary Diagnosis 2,secondaryDiagnosis2,"Left justified, starting with a character, there will be a presumed decimal point between the third and fourth characters in the reported value","A00.0 - B99.9, E00.0 - E89.89, G00.0 - P96.9, R00.0 - S99.929, T36.0 - T50.996, Y62.0 - Y84.9, Z14.0 - Z22.9, Z68.1 - Z68.54, Z80.0 - Z80.9, Z85.0 - Z86.03, Z86.1 - Z99.89",Tumor,Stage/Prognostic Factors,,
7,3784,Secondary Diagnosis 3,secondaryDiagnosis3,"Left justified, starting with a character, there will be a presumed decimal point between the third and fourth characters in the reported value","A00.0 - B99.9, E00.0 - E89.89, G00.0 - P96.9, R00.0 - S99.929, T36.0 - T50.996, Y62.0 - Y84.9, Z14.0 - Z22.9, Z68.1 - Z68.54, Z80.0 - Z80.9, Z85.0 - Z86.03, Z86.1 - Z99.89",Tumor,Stage/Prognostic Factors,,
7,3786,Secondary Diagnosis 4,secondaryDiagnosis4,"Left justified, starting with a character, there will be a presumed decimal point between the third and fourth characters in the reported value","A00.0 - B99.9, E00.0 - E89.89, G00.0 - P96.9, R00.0 - S99.929, T36.0 - T50.996, Y62.0 - Y84.9, Z14.0 - Z22.9, Z68.1 - Z68.54, Z80.0 - Z80.9, Z85.0 - Z86.03, Z86.1 - Z99.89",Tumor,Stage/Prognostic Factors,,
7,3788,Secondary Diagnosis 5,secondaryDiagnosis5,"Left justified, starting with a character, there will be a presumed decimal point between the third and fourth characters in the reported value","A00.0 - B99.9, E00.0 - E89.89, G00.0 - P96.9, R00.0 - S99.929, T36.0 - T50.996, Y62.0 - Y84.9, Z14.0 - Z22.9, Z68.1 - Z68.54, Z80.0 - Z80.9, Z85.0 - Z86.03, Z86.1 - Z99.89",Tumor,Stage/Prognostic Factors,,
7,3790,Secondary Diagnosis 6,secondaryDiagnosis6,"Left justified, starting with a character, there will be a presumed decimal point between the third and fourth characters in the reported value","A00.0 - B99.9, E00.0 - E89.89, G00.0 - P96.9, R00.0 - S99.929, T36.0 - T50.996, Y62.0 - Y84.9, Z14.0 - Z22.9, Z68.1 - Z68.54, Z80.0 - Z80.9, Z85.0 - Z86.03, Z86.1 - Z99.89",Tumor,Stage/Prognostic Factors,,
7,3792,Secondary Diagnosis 7,secondaryDiagnosis7,"Left justified, starting with a character, there will be a presumed decimal point between the third and fourth characters in the reported value","A00.0 - B99.9, E00.0 - E89.89, G00.0 - P96.9, R00.0 - S99.929, T36.0 - T50.996, Y62.0 - Y84.9, Z14.0 - Z22.9, Z68.1 - Z68.54, Z80.0 - Z80.9, Z85.0 - Z86.03, Z86.1 - Z99.89",Tumor,Stage/Prognostic Factors,,
7,3794,Secondary Diagnosis 8,secondaryDiagnosis8,"Left justified, starting with a character, there will be a presumed decimal point between the third and fourth characters in the reported value","A00.0 - B99.9, E00.0 - E89.89, G00.0 - P96.9, R00.0 - S99.929, T36.0 - T50.996, Y62.0 - Y84.9, Z14.0 - Z22.9, Z68.1 - Z68.54, Z80.0 - Z80.9, Z85.0 - Z86.03, Z86.1 - Z99.89",Tumor,Stage/Prognostic Factors,,
7,3796,Secondary Diagnosis 9,secondaryDiagnosis9,"Left justified, starting with a character, there will be a presumed decimal point between the third and fourth characters in the reported value","A00.0 - B99.9, E00.0 - E89.89, G00.0 - P96.9, R00.0 - S99.929, T36.0 - T50.996, Y62.0 - Y84.9, Z14.0 - Z22.9, Z68.1 - Z68.54, Z80.0 - Z80.9, Z85.0 - Z86.03, Z86.1 - Z99.89",Tumor,Stage/Prognostic Factors,,
7,3798,Secondary Diagnosis 10,secondaryDiagnosis10,"Left justified, starting with a character, there will be a presumed decimal point between the third and fourth characters in the reported value","A00.0 - B99.9, E00.0 - E89.89, G00.0 - P96.9, R00.0 - S99.929, T36.0 - T50.996, Y62.0 - Y84.9, Z14.0 - Z22.9, Z68.1 - Z68.54, Z80.0 - Z80.9, Z85.0 - Z86.03, Z86.1 - Z99.89",Tumor,Stage/Prognostic Factors,,
5,3800,Schema ID,schemaId,,See the NAACCR Site-Specific Data Item webpage for codes,Tumor,Stage/Prognostic Factors,,
1,3801,Chromosome 1p: Loss of Heterozygosity (LOH),chromosome1pLossHeterozygosity,,"0, 1, 6-9",Tumor,Stage/Prognostic Factors,,
1,3802,Chromosome 19q: Loss of Heterozygosity (LOH),chromosome19qLossHeterozygosity,,"0, 1, 6-9",Tumor,Stage/Prognostic Factors,,
5,3803,Adenoid Cystic Basaloid Pattern,adenoidCysticBasaloidPattern,Right justified,"0.0-100.0, XXX.5, XXX.8, XXX.9",Tumor,Stage/Prognostic Factors,,
1,3804,Adenopathy,adenopathy,,"0, 1, 5, 9",Tumor,Stage/Prognostic Factors,,
7,3805,AFP Post-Orchiectomy Lab Value,afpPostOrchiectomyLabValue,Right justified,"0.0, 0.1-99999.9, XXXXX.1, XXXXX.7, XXXXX.8, XXXXX.9",Tumor,Stage/Prognostic Factors,,
1,3806,AFP Post-Orchiectomy Range,afpPostOrchiectomyRange,,"0-5, 7-9",Tumor,Stage/Prognostic Factors,,
7,3807,AFP Pre-Orchiectomy Lab Value,afpPreOrchiectomyLabValue,Right justified,"0.0, 0.1-99999.9, XXXXX.1, XXXXX.7, XXXXX.8, XXXXX.9",Tumor,Stage/Prognostic Factors,,
1,3808,AFP Pre-Orchiectomy Range,afpPreOrchiectomyRange,,"0-4, 7-9",Tumor,Stage/Prognostic Factors,,
1,3809,AFP Pretreatment Interpretation,afpPretreatmentInterpretation,,"0-2, 7-9",Tumor,Stage/Prognostic Factors,,
6,3810,AFP Pretreatment Lab Value,afpPretreatmentLabValue,Right justified,"0.0, 0.1-9999.9, XXXX.1, XXXX.2, XXXX.8, XXXX.9",Tumor,Stage/Prognostic Factors,,
1,3811,Anemia,anemia,,"0, 1, 5, 6, 7, 9",Tumor,Stage/Prognostic Factors,,
1,3812,B symptoms,bSymptoms,,"0, 1, 8, 9",Tumor,Stage/Prognostic Factors,,
5,3813,Bilirubin Pretreatment Total Lab Value,bilirubinPretxTotalLabValue,Right justified,"0.0, 0.1-999.9, XXX.1, XXX.7, XXX.8, XXX.9",Tumor,Stage/Prognostic Factors,,
1,3814,Bilirubin Pretreatment Unit of Measure,bilirubinPretxUnitOfMeasure,,"1, 2, 7-9",Tumor,Stage/Prognostic Factors,,
1,3815,Bone Invasion,boneInvasion,,"0, 1, 8, 9",Tumor,Stage/Prognostic Factors,,
2,3816,Brain Molecular Markers,brainMolecularMarkers,,"01-09, 85-88, 99",Tumor,Stage/Prognostic Factors,,
4,3817,Breslow Tumor Thickness,breslowTumorThickness,Right justified,"0.0, 0.1-99.9, XX.1, A.01-A9.9, AX.0, XX.8, XX.9",Tumor,Stage/Prognostic Factors,,
1,3818,CA-125 Pretreatment Interpretation,ca125PretreatmentInterpretation,,"0-2, 7-9",Tumor,Stage/Prognostic Factors,,
1,3819,CEA Pretreatment Interpretation,ceaPretreatmentInterpretation,,"0-3, 7-9",Tumor,Stage/Prognostic Factors,,
6,3820,CEA Pretreatment Lab Value,ceaPretreatmentLabValue,Right justified,"0.0, 0.1-9999.9, XXXX.1, XXXX.7, XXXX.8, XXXX.9",Tumor,Stage/Prognostic Factors,,
1,3821,Chromosome 3 Status,chromosome3Status,,"0-3, 7-9",Tumor,Stage/Prognostic Factors,,
1,3822,Chromosome 8q Status,chromosome8qStatus,,"0, 1, 7-9",Tumor,Stage/Prognostic Factors,,
4,3823,Circumferential Resection Margin (CRM),circumferentialResectionMargin,Right justified,"0.0, 0.1-99.9, XX.1, XX.2, XX.3, XX.4, XX.5, XX.6, XX.7, XX.8, XX.9",Tumor,Stage/Prognostic Factors,,
4,3824,Creatinine Pretreatment Lab Value,creatininePretreatmentLabValue,Right justified,"00, 0.1-99.9, XX.1, XX.7, XX.8, XX.9",Tumor,Stage/Prognostic Factors,,
1,3825,Creatinine Pretreatment Unit of Measure,creatininePretxUnitOfMeasure,,"1, 2, 7-9",Tumor,Stage/Prognostic Factors,,
3,3826,Estrogen Receptor Percent Positive or Range,estrogenReceptorPercntPosOrRange,,"000-100, R10, R20, R30, R40, R50, R60, R70, R80, R90, R99, XX7, XX8, XX9",Tumor,Stage/Prognostic Factors,,
1,3827,Estrogen Receptor Summary,estrogenReceptorSummary,,"0, 1, 7, 9",Tumor,Stage/Prognostic Factors,,
2,3828,Estrogen Receptor Total Allred Score,estrogenReceptorTotalAllredScore,,"00-08, X8, X9",Tumor,Stage/Prognostic Factors,,
1,3829,Esophagus and EGJ Tumor Epicenter,esophagusAndEgjTumorEpicenter,,"0-2, 9",Tumor,Stage/Prognostic Factors,,
1,3830,Extranodal Extension Clin (non-Head and Neck),extranodalExtensionClin,,"0-2, 4, 7-9",Tumor,Stage/Prognostic Factors,,
1,3831,Extranodal Extension Head and Neck Clinical,extranodalExtensionHeadNeckClin,,"0-2, 4, 7-9",Tumor,Stage/Prognostic Factors,,
3,3832,Extranodal Extension Head and Neck Pathological,extranodalExtensionHeadNeckPath,,"0.0, 0.1-9.9, X.1, X.2, X.3, X.4, X.7, X.8, X.9",Tumor,Stage/Prognostic Factors,,
1,3833,Extranodal Extension Path (non-Head and Neck),extranodalExtensionPath,,"0, 1, 7-9",Tumor,Stage/Prognostic Factors,,
1,3834,Extravascular Matrix Patterns,extravascularMatrixPatterns,,"0, 1, 8, 9",Tumor,Stage/Prognostic Factors,,
1,3835,Fibrosis Score,fibrosisScore,,"0, 1, 7-9",Tumor,Stage/Prognostic Factors,,
5,3836,FIGO Stage,figoStage,Left justified,Valid alphanumeric codes for FIGO stages; 97-99,Tumor,Stage/Prognostic Factors,,
2,3837,Gestational Trophoblastic Prognostic Scoring Index,gestationalTrophoblasticPxIndex,,"00-25, X9",Tumor,Stage/Prognostic Factors,,
2,3838,Gleason Patterns Clinical,gleasonPatternsClinical,,"11-15, 19, 21-25, 29, 31-35, 39, 41-45, 49, 51-55, 59, X6, X7, X8, X9",Tumor,Stage/Prognostic Factors,,
2,3839,Gleason Patterns Pathological,gleasonPatternsPathological,,"11-15, 19, 21-25, 29, 31-35, 39, 41-45, 49, 51-55, 59, X6, X7, X8, X9",Tumor,Stage/Prognostic Factors,,
2,3840,Gleason Score Clinical,gleasonScoreClinical,,"02-10, X7, X8, X9",Tumor,Stage/Prognostic Factors,,
2,3841,Gleason Score Pathological,gleasonScorePathological,,"02-10, X7, X8, X9",Tumor,Stage/Prognostic Factors,,
2,3842,Gleason Tertiary Pattern,gleasonTertiaryPattern,,"10, 20, 30, 40, 50, X7, X8, X9",Tumor,Stage/Prognostic Factors,,
1,3843,Grade Clinical,gradeClinical,,"1-5, 8, 9, A, B, C, D, E, L, H, M, S",Tumor,Stage/Prognostic Factors,,
1,3844,Grade Pathological,gradePathological,,"1-5, 8, 9, A, B, C, D, E, L, H, M, S",Tumor,Stage/Prognostic Factors,,
1,3845,Grade Post Therapy Path (yp),gradePostTherapy,,"1-5, 8, 9, A, B, C, D, E, L, H, M, S, Blank",Tumor,Stage/Prognostic Factors,,
7,3846,hCG Post-Orchiectomy Lab Value,hcgPostOrchiectomyLabValue,Right justified,"0.0, 0.1-99999.9, XXXXX.1, XXXXX.7, XXXXX.8, XXXXX.9",Tumor,Stage/Prognostic Factors,,
1,3847,hCG Post-Orchiectomy Range,hcgPostOrchiectomyRange,,"0-5, 7-9",Tumor,Stage/Prognostic Factors,,
7,3848,hCG Pre-Orchiectomy Lab Value,hcgPreOrchiectomyLabValue,Right justified,"0.0, 0.1-99999.9, XXXXX.1, XXXXX.8, XXXXX.9",Tumor,Stage/Prognostic Factors,,
1,3849,hCG Pre-Orchiectomy Range,hcgPreOrchiectomyRange,,"0-4, 7-9",Tumor,Stage/Prognostic Factors,,
1,3850,HER2 IHC Summary,her2IhcSummary,,"0-4, 7-9",Tumor,Stage/Prognostic Factors,,
4,3851,HER2 ISH Dual Probe Copy Number,her2IshDualProbeCopyNumber,Right justified,"0.0-99.9, XX.1, XX.7, XX.8, XX.9",Tumor,Stage/Prognostic Factors,,
4,3852,HER2 ISH Dual Probe Ratio,her2IshDualProbeRatio,Right justified,"0.0-99.9, XX.2, XX.3, XX.7, XX.8, XX.9",Tumor,Stage/Prognostic Factors,,
4,3853,HER2 ISH Single Probe Copy Number,her2IshSingleProbeCopyNumber,Right justified,"0.0-99.9, XX.1, XX.7, XX.8, XX.9",Tumor,Stage/Prognostic Factors,,
1,3854,HER2 ISH Summary,her2IshSummary,,"0, 2, 3, 7-9",Tumor,Stage/Prognostic Factors,,
1,3855,HER2 Overall Summary,her2OverallSummary,,"0, 1, 7, 8, 9",Tumor,Stage/Prognostic Factors,,
1,3856,Heritable Trait,heritableTrait,,"0, 1, 7, 9",Tumor,Stage/Prognostic Factors,,
1,3857,High Risk Cytogenetics,highRiskCytogenetics,,"0, 1, 5, 7, 9",Tumor,Stage/Prognostic Factors,,
1,3858,High Risk Histologic Features,highRiskHistologicFeatures,,"0-6, 8, 9",Tumor,Stage/Prognostic Factors,,
1,3859,HIV Status,hivStatus,,"0, 1, 7-9",Tumor,Stage/Prognostic Factors,,
3,3860,International Normalized Ratio Prothrombin Time,iNRProthrombinTime,,"0.0-9.9, X.1, X.7, X.8, X.9",Tumor,Stage/Prognostic Factors,,
1,3861,Ipsilateral Adrenal Gland Involvement,ipsilateralAdrenalGlandInvolve,,"0-4, 8, 9",Tumor,Stage/Prognostic Factors,,
1,3862,JAK2,jak2,,"0-5, 7-9",Tumor,Stage/Prognostic Factors,,
5,3863,Ki-67,ki67,Right justified,"0.0-100.0, XXX.4, XXX.5, XXX.6, XXX.7, XXX.8, XXX.9",Tumor,Stage/Prognostic Factors,,
1,3864,Invasion Beyond Capsule,invasionBeyondCapsule,,"0-5, 8, 9",Tumor,Stage/Prognostic Factors,,
1,3865,KIT Gene Immunohistochemistry,kitGeneImmunohistochemistry,,"0, 1, 7-9",Tumor,Stage/Prognostic Factors,,
1,3866,KRAS,kras,,"0-4, 7-9",Tumor,Stage/Prognostic Factors,,
1,3867,LDH Post-Orchiectomy Range,ldhPostOrchiectomyRange,,"0-5, 7-9",Tumor,Stage/Prognostic Factors,,
1,3868,LDH Pre-Orchiectomy Range,ldhPreOrchiectomyRange,,"0-4, 7-9",Tumor,Stage/Prognostic Factors,,
1,3869,LDH Level,ldhPretreatmentLevel,,"0, 1, 5, 7, 9",Tumor,Stage/Prognostic Factors,,
3,3870,LDH Upper Limits of Normal,ldhUpperLimitsOfNormal,,"001-999, XX8, XX9",Tumor,Stage/Prognostic Factors,,
1,3871,LN Assessment Method Femoral-Inguinal,lnAssessMethodFemoralInguinal,,"0-2, 7-9",Tumor,Stage/Prognostic Factors,,
1,3872,LN Assessment Method Para-Aortic,lnAssessMethodParaaortic,,"0-2, 7-9",Tumor,Stage/Prognostic Factors,,
1,3873,LN Assessment Method Pelvic,lnAssessMethodPelvic,,"0-2, 7-9",Tumor,Stage/Prognostic Factors,,
1,3874,LN Distant Assessment Method,lnDistantAssessMethod,,"0-2, 7-9",Tumor,Stage/Prognostic Factors,,
1,3875,"LN Distant: Mediastinal, Scalene",lnDistantMediastinalScalene,,"0-3, 8, 9",Tumor,Stage/Prognostic Factors,,
1,3876,LN Head and Neck Levels I-III,lnHeadAndNeckLevels1To3,,0-9,Tumor,Stage/Prognostic Factors,,
1,3877,LN Head and Neck Levels IV-V,lnHeadAndNeckLevels4To5,,"0-3, 8, 9",Tumor,Stage/Prognostic Factors,,
1,3878,LN Head and Neck Levels VI-VII,lnHeadAndNeckLevels6To7,,"0-3, 8, 9",Tumor,Stage/Prognostic Factors,,
1,3879,LN Head and Neck Other,lnHeadAndNeckOther,,0-9,Tumor,Stage/Prognostic Factors,,
1,3880,LN Isolated Tumor Cells (ITC),lnIsolatedTumorCells,,"0, 1, 8, 9",Tumor,Stage/Prognostic Factors,,
1,3881,LN Laterality,lnLaterality,,"0-3, 8, 9",Tumor,Stage/Prognostic Factors,,
2,3882,LN Positive Axillary Level I-II,lnPositiveAxillaryLevel1To2,,"00-99, X1, X5, X6, X8, X9",Tumor,Stage/Prognostic Factors,,
4,3883,LN Size,lnSize,Right justified,"0.0, 0.1-99.9, XX.1, XX.2, XX.3, XX.4, XX.5, XX.6, XX.7, XX.8, XX.9",Tumor,Stage/Prognostic Factors,,
1,3884,"LN Status Femoral-Inguinal, Para-Aortic, Pelvic",lnStatusFemorInguinParaaortPelv,,0-9,Tumor,Stage/Prognostic Factors,,
1,3885,Lymphocytosis,lymphocytosis,,"0, 1, 5, 6, 7, 9",Tumor,Stage/Prognostic Factors,,
1,3886,Major Vein Involvement,majorVeinInvolvement,,"0-4, 8, 9",Tumor,Stage/Prognostic Factors,,
4,3887,Measured Basal Diameter,measuredBasalDiameter,Right justified,"0.0-99.9, XX.0, XX.1, XX.2, XX.3, XX.4, XX.5, XX.6, XX.8, XX.9",Tumor,Stage/Prognostic Factors,,
4,3888,Measured Thickness,measuredThickness,Right justified,"0.0-99.9, XX.0, XX.1, XX.2, XX.3, XX.4, XX.5, XX.6, XX.8, XX.9",Tumor,Stage/Prognostic Factors,,
1,3889,Methylation of O6-Methylguanine-Methyltransferase,methylationOfO6MGMT,,"0-3, 6-9",Tumor,Stage/Prognostic Factors,,
1,3890,Microsatellite Instability (MSI),microsatelliteInstability,,"0-2, 8, 9",Tumor,Stage/Prognostic Factors,,
2,3891,Microvascular Density,microvascularDensity,,"00-99, X1, X2, X3, X4, X5, X7, X8, X9",Tumor,Stage/Prognostic Factors,,
4,3892,Mitotic Count Uveal Melanoma,mitoticCountUvealMelanoma,Right justified,"0.0, 0.1-99.9, XX.1, XX.2, XX.3, XX.4, XX.7, XX.8, XX.9",Tumor,Stage/Prognostic Factors,,
2,3893,Mitotic Rate Melanoma,mitoticRateMelanoma,,"00-99, X1, X2, X3, X4, X7, X8, X9",Tumor,Stage/Prognostic Factors,,
1,3894,Multigene Signature Method,multigeneSignatureMethod,,9-Jan,Tumor,Stage/Prognostic Factors,,
2,3895,Multigene Signature Results,multigeneSignatureResults,,"00-99, X1, X2, X3, X4, X7, X8, X9",Tumor,Stage/Prognostic Factors,,
2,3896,NCCN International Prognostic Index (IPI),nccnInternationalPrognosticIndex,,"00-08, X1, X2, X3, X4, X8, X9",Tumor,Stage/Prognostic Factors,,
2,3897,Number of Cores Examined,numberOfCoresExamined,,"01-99, X1, X6, X7, X8, X9",Tumor,Stage/Prognostic Factors,,
2,3898,Number of Cores Positive,numberOfCoresPositive,,"00, 01-99, X1, X6, X7, X8, X9",Tumor,Stage/Prognostic Factors,,
2,3899,Number of Examined Para-Aortic Nodes,numberOfExaminedParaAorticNodes,,"00, 01-99, X1, X2, X6, X8, X9",Tumor,Stage/Prognostic Factors,,
2,3900,Number of Examined Pelvic Nodes,numberOfExaminedPelvicNodes,,"00, 01-99, X1, X2, X6, X8, X9",Tumor,Stage/Prognostic Factors,,
2,3901,Number of Positive Para-Aortic Nodes,numberOfPositiveParaAorticNodes,,"00, 01-99, X1, X2, X6, X8, X9",Tumor,Stage/Prognostic Factors,,
2,3902,Number of Positive Pelvic Nodes,numberOfPositivePelvicNodes,,"00, 01-99, X1, X2, X6, X8, X9",Tumor,Stage/Prognostic Factors,,
3,3903,Oncotype Dx Recurrence Score-DCIS,oncotypeDxRecurrenceScoreDcis,"Right justified, zero-filled","0-100, XX6, XX7, XX8, XX9",Tumor,Stage/Prognostic Factors,,
3,3904,Oncotype Dx Recurrence Score-Invasive,oncotypeDxRecurrenceScoreInvasiv,"Right justified, zero-filled","0-100, XX4, XX5, XX6, XX7, XX9",Tumor,Stage/Prognostic Factors,,
1,3905,Oncotype Dx Risk Level-DCIS,oncotypeDxRiskLevelDcis,,"0-2, 6-9",Tumor,Stage/Prognostic Factors,,
1,3906,Oncotype Dx Risk Level-Invasive,oncotypeDxRiskLevelInvasive,,"0-2, 6-9",Tumor,Stage/Prognostic Factors,,
1,3907,Organomegaly,organomegaly,,"0, 1, 5, 9",Tumor,Stage/Prognostic Factors,,
5,3908,Percent Necrosis Post Neoadjuvant,percentNecrosisPostNeoadjuvant,Right justified,"0.0, 0.1-100.0, XXX.2, XXX.8, XXX.9",Tumor,Stage/Prognostic Factors,,
1,3909,Perineural Invasion,perineuralInvasion,,"0, 1, 8, 9",Tumor,Stage/Prognostic Factors,,
1,3910,Peripheral Blood Involvement,peripheralBloodInvolvement,,"0-7, 9",Tumor,Stage/Prognostic Factors,,
1,3911,Peritoneal Cytology,peritonealCytology,,"0-3, 7-9",Tumor,Stage/Prognostic Factors,,
1,3913,Pleural Effusion,pleuralEffusion,,"0-4, 8, 9",Tumor,Stage/Prognostic Factors,,
3,3914,Progesterone Receptor Percent Positive or Range,progesteroneRecepPrcntPosOrRange,,"000, 001-100, R10, R20, R30, R40, R50, R60, R70, R80, R90, R99, XX7, XX8, XX9",Tumor,Stage/Prognostic Factors,,
1,3915,Progesterone Receptor Summary,progesteroneRecepSummary,,"0, 1, 7, 9",Tumor,Stage/Prognostic Factors,,
2,3916,Progesterone Receptor Total Allred Score,progesteroneRecepTotalAllredScor,,"00-08, X8, X9",Tumor,Stage/Prognostic Factors,,
1,3917,Primary Sclerosing Cholangitis,primarySclerosingCholangitis,,"0, 1, 8, 9",Tumor,Stage/Prognostic Factors,,
1,3918,Profound Immune Suppression,profoundImmuneSuppression,,"0-6, 8, 9",Tumor,Stage/Prognostic Factors,,
3,3919,EOD Prostate Pathologic Extension,prostatePathologicalExtension,,000-999,Tumor,Stage/Prognostic Factors,,
5,3920,PSA (Prostatic Specific Antigen) Lab Value,psaLabValue,Right justified,"0.1, 0.2-999.9, XXX.1, XXX.2, XXX.3, XXX.7, XXX.9",Tumor,Stage/Prognostic Factors,,
2,3921,Residual Tumor Volume Post Cytoreduction,residualTumVolPostCytoreduction,,"00, 50, 60, 70, 80, 97-99",Tumor,Stage/Prognostic Factors,,
1,3922,Response to Neoadjuvant Therapy,responseToNeoadjuvantTherapy,,"0-4, 8, 9",Tumor,Stage/Prognostic Factors,,
1,3923,S Category Clinical,sCategoryClinical,,"0-3, 9",Tumor,Stage/Prognostic Factors,,
1,3924,S Category Pathological,sCategoryPathological,,"0-3, 5, 9",Tumor,Stage/Prognostic Factors,,
